date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:44:47	67/67	---M--	200	added ('OK')	text/plain	date:Sat,%2022%20Apr%202017%2010:45:01%20GMT	http://minimums.com/robots.txt		(from )
16:44:49	44044/44044	---MCZ	200	added ('OK')	text/html	date:Sat,%2022%20Apr%202017%2010:45:03%20GMT	http://minimums.com/	E:/Asif%20Projects/websites/allInOne/minimums.com/index.html	(from )
16:44:50	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2022%20Apr%202017%2010:45:04%20GMT	http://minimums.com/xmlrpc.php	E:/Asif%20Projects/websites/allInOne/minimums.com/xmlrpc.php	(from http://minimums.com/)
16:44:50	345/345	---M--	404	error ('Not%20Found')	application/octet-stream-unknown	date:Sat,%2022%20Apr%202017%2010:45:04%20GMT	http://fast.fonts.net/cssapi/0b09af0a-7a35-4e17-b025-0b5bc2733af4.css	E:/Asif%20Projects/websites/allInOne/fast.fonts.net/cssapi/0b09af0a-7a35-4e17-b025-0b5bc2733af4.1.delayed	(from http://minimums.com/)
16:44:52	18577/18577	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2022%20Apr%202017%2010:45:06%20GMT	http://use.typekit.net/qkn3ijk.js	E:/Asif%20Projects/websites/allInOne/use.typekit.net/qkn3ijk.js	(from http://minimums.com/)
16:44:52	25197/25197	---MCZ	200	added ('OK')	text/css	etag:W/%2257fd1dcb-626d%22	http://minimums.com/wp-content/themes/ink-modified-2/assets/css/font-awesome.css?ver=4.1.0	E:/Asif%20Projects/websites/allInOne/minimums.com/wp-content/themes/ink-modified-2/assets/css/font-awesomebfce.css	(from http://minimums.com/)
16:44:53	10786/10786	---MCZ	200	added ('OK')	text/css	etag:W/%2257fd1dcb-2a22%22	http://minimums.com/wp-content/plugins/stagtools/assets/css/stag-shortcodes.css?ver=2.0.1	E:/Asif%20Projects/websites/allInOne/minimums.com/wp-content/plugins/stagtools/assets/css/stag-shortcodes7406.css	(from http://minimums.com/)
16:44:53	740/740	---MC-	200	added ('OK')	application/rss+xml	etag:%2299b889a9cd748e8b4eca0eb3758d138d-gzip%22	http://minimums.com/comments/feed/	E:/Asif%20Projects/websites/allInOne/minimums.com/comments/feed/index.html	(from http://minimums.com/)
16:44:53	91841/91841	---MCZ	200	added ('OK')	text/css	etag:W/%2257fd1dcb-166c1%22	http://minimums.com/wp-content/themes/ink-modified-2/style.css?ver=123456789	E:/Asif%20Projects/websites/allInOne/minimums.com/wp-content/themes/ink-modified-2/stylef335.css	(from http://minimums.com/)
16:44:55	55141/55141	---MCZ	200	added ('OK')	text/css	etag:W/%2257fd1dcd-d765%22	http://minimums.com/wp-content/plugins/jetpack/css/jetpack.css?ver=3.7.2	E:/Asif%20Projects/websites/allInOne/minimums.com/wp-content/plugins/jetpack/css/jetpackf3df.css	(from http://minimums.com/)
16:44:57	97184/97184	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%225742c6ad-17ba0%22	http://minimums.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	E:/Asif%20Projects/websites/allInOne/minimums.com/wp-includes/js/jquery/jqueryb8ff.js	(from http://minimums.com/)
16:44:58	10056/10056	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22573eaa90-2748%22	http://minimums.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	E:/Asif%20Projects/websites/allInOne/minimums.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://minimums.com/)
16:44:58	29480/29480	---MC-	200	added ('OK')	text/javascript	date:Tue,%2011%20Apr%202017%2000:18:06%20GMT	http://www.google-analytics.com/analytics.js	E:/Asif%20Projects/websites/allInOne/www.google-analytics.com/analytics.js	(from http://minimums.com/)
16:44:58	10197/10197	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2257fd1dcc-27d5%22	http://minimums.com/wp-content/plugins/jetpack/_inc/spin.js?ver=1.3	E:/Asif%20Projects/websites/allInOne/minimums.com/wp-content/plugins/jetpack/_inc/spin4e44.js	(from http://minimums.com/)
16:44:58	3330/3330	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2257fd1dcc-d02%22	http://minimums.com/wp-content/plugins/jetpack/_inc/jquery.spin.js?ver=1.3	E:/Asif%20Projects/websites/allInOne/minimums.com/wp-content/plugins/jetpack/_inc/jquery.spin4e44.js	(from http://minimums.com/)
